Word,Clue,Example
stipulate,make an express demand or provision in an agreement,"The mayor has an executive order in place stipulating that all top officials, except those granted a waiver, live in the city."
recourse,something or someone turned to for assistance or security,Bargain hunters and holiday shoppers are bad guys’ favorite targets and have little or no recourse when shoddy or fake merchandise arrives.
constrained,lacking spontaneity; not natural,"All his goodness, however, will be of a forced, constrained, artificial, and at bottom unreal character."
aversion,a feeling of intense dislike,Already my passive dislike had grown into an active aversion.
conceit,an artistic device or effect,"An urban panorama is viewed from a high vantage point, a conceit used in topographic art to render vast perspectives."
loath,strongly opposed,"Friends and political allies are loath to talk about her, knowing the family’s intense obsession with privacy."
rampart,an embankment built around a space for defensive purposes,"The night was gloomy, dark, and wet; the soldiers, wearied with watching at the ramparts, dozed, leaning on their weapons."
extort,obtain by coercion or intimidation,"The owners, in turn, have called the lawyers shakedown artists bent on ruining their good reputations to extort money."
tarry,leave slowly and hesitantly,"For two days I tarried in Paris, settling my little property."
perpetrate,"perform an act, usually with a negative connotation",Come on it’s just a cruel joke perpetrated by the airline industry.”
decorum,propriety in manners and conduct,"Wishing to observe the rules of decorum she invited him to stay for supper, though absolutely nothing had been prepared for a guest."
luxuriant,produced or growing in extreme abundance,"Her luxuriant curly hair, restrained by no net, but held together simply by a flowering spray, waved over her shoulders in all its rich abundance."
cant,insincere talk about religion or morals,"It was the familiar cant of the man rich enough to affect disdain for money, and Wade was not impressed."
enjoin,give instructions to or direct somebody to do something,"He turned to beckon the others forward with one hand, while laying the other over his mouth in a gesture enjoining silence."
avarice,extreme greed for material wealth,"The old man's fears were assailed with threats, and his avarice was approached by bribes, and he very soon capitulated."
edict,a formal or authoritative proclamation,An edict was issued by him forbidding any Christian to give instruction in Greek literature under any circumstances.
disconcert,cause to lose one's composure,"Perplexed and disconcerted, I found no words to answer such an amazing sally."
symmetry,balance among the parts of something,"Even the staging displays symmetry, with actors lined up on either side in formal precision."
capitulate,surrender under agreed conditions,"""Alas, no,"" said Bergfeld, mournfully, ""the day after the battle our brave soldiers were surrounded by overwhelming forces and obliged to capitulate."""
arbitrate,act between parties with a view to reconciling differences,"The Scottish throne was now disputed by many claimants, and the Scots asked Edward to arbitrate between them."
cleave,"separate or cut with a tool, such as a sharp instrument","Instead someone shouts ""Go"" and he is bearing down on me and almost cleaves my shield in two with his first blow."
append,add to the very end,Some specimens will appear in the papers appended to this report.
visage,the human face,"An honest, quiet laugh often mantled his pale earnest visage."
horde,a moving crowd,"Hordes of puzzled tourists, many with rolling suitcases attached, poured down the staircases."
parable,a short moral story,"In most instances, I have closed my visits by reading some interesting story or parable."
chastise,censure severely,She remembers an upsetting incident when a headmistress chastised her for working too much.
foil,"hinder or prevent, as an effort, plan, or desire","On March 1st, a Turkish newspaper reported that the country's intelligence service had foiled an attempt by Syrian agents to kidnap the colonel."
veritable,being truly so called; real or genuine,"The heavy rain had reduced this low-lying ground to a veritable quagmire, making progress very difficult even for one as unburdened as he was."
grapple,come to terms with,"But, he said, all coastal communities will have to grapple with rising seas."
gentry,the most powerful members of a society,"The mode of travel of the gentry was riding horses, but most people traveled by walking."
pall,a sudden numbing dread,"Residents who fled in recent days spoke of the smell of death and piles of garbage drifting like snowbanks, casting a pall over the city."
maxim,a saying that is widely accepted on its own merits,"The maxim ""All is fair in love and war"" was applied literally."
projection,a prediction made by extrapolating from past observations,"Volume is down 25 percent from five years ago, and projections show even further declines, said Postmaster General Patrick R. Donahoe."
prowess,a superior skill learned by study and practice,"While our engineering prowess has advanced a great deal over the past sixty years, the principles of innovation largely have not."
dingy,thickly covered with ingrained dirt or soot,"Though composed amid the unromantic surroundings of a dingy, dusty, and neglected back room, the speech has become a memorable document."
semblance,an outward appearance that is deliberately misleading,"He was perceptibly older, in the way in which people look older all at once after having long kept the semblance of youth."
tout,advertize in strongly positive terms,"Testing is being touted as the means of making the U.S. education system competitive, even world-class."
fortitude,strength of mind that enables one to endure adversity,"Leigh Hunt bore himself in his captivity with cheerful fortitude, suffering severely in health but flagging little in spirits or industry."
asunder,into parts or pieces,"In 1854, as I have already remarked, Nicaragua was split asunder by civil war."
rout,an overwhelming defeat,"It's how Seattle won Sunday's game in Chicago, scoring 31 consecutive second-half points as an impressive comeback became an overwhelming rout."
staid,characterized by dignity and propriety,He was prim and staid and liked to do things in an orderly fashion.
beguile,influence by slyness,I can no longer remain silent in the presence of the schemers who seek to beguile you.
purport,have the often specious appearance of being or intending,"Of course, none of these purported medical benefits have any grounding in science."
deprave,corrupt morally or by intemperance or sensuality,"The people who make up this typical Gorky offering are drunkards, thieves, depraved creatures of every kind."
bequeath,leave or give by will after one's death,"No matter how often she changed her will, she told me, that diamond pin was always bequeathed to me."
enigma,something that baffles understanding and cannot be explained,"Tails are often an enigma; many creatures have them, but scientists know little about their function, particularly for extinct species."
assiduous,marked by care and persistent effort,He's an assiduous diary-keeper and regularly rereads ancient entries to check up on himself.
vassal,a person holding a fief,"And what was of still greater importance, he could only obtain taxes and soldiers from among the vassals, by the consent of their feudal lords."
quail,"draw back, as with fear or pain","He quailed before me, and forgetting his new part in old habits, muttered an apology."
outskirts,"outlying areas, as of a city or town",Ms. Waters talked about how she had spent the day at an organic farm on the outskirts of Beijing looking at vegetables for the dinner.
bulwark,a protective structure of stone or concrete,"The cliffs are of imposing height, nearly three hundred feet: a formidable bulwark."
swerve,an erratic deflection from an intended course,"However, I was not going to swerve from my word."
gird,prepare oneself for a military confrontation,Protesters are girding for another police raid as several City Council members have called on protesters to leave.
betrothed,pledged to be married,"We are not betrothed'—her eyes filled with tears,—'he can never marry me; and he and my father have quarrelled."
prospective,of or concerned with or related to the future,"Most prospective homesteaders make the same mistake I did in buying horses, unless they are experienced."
advert,make reference to,"In the family circle it was rarely adverted to, and never except when some allusion to the approaching separation had to be made."
peremptory,not allowing contradiction or refusal,This time it was not a request but a peremptory order to go at once to Cuba and undertake the work.
rudiment,the elementary stage of any subject,"He retraced his steps, and came to Cape Girardeau, in Missouri, where he remained some time, acquiring the rudiments of the English language."
deduce,reason from the general to the particular,They then used models of global wind circulation to deduce which dust sources have become stronger and which weaker.
ignominy,a state of dishonor,"After all, we love nothing better than seeing the powerful and formerly smug dragged across the front pages in ignominy."
ideology,an orientation that characterizes the thinking of a group,"Bill O’Reilly and others picked up on the theme, summing up left-wing ideology as “San Francisco values.”"
pallid,lacking in vitality or interest or effectiveness,But too often the music sounded thin and pallid.
chagrin,strong feelings of embarrassment,But he was feeling deeply chagrined and mortified over his last escapade.
obtrude,thrust oneself in as if by force,She had no right to obtrude herself into his life and to disturb it.
audacious,disposed to venture or take risks,"In an audacious operation that unfolded like a Hollywood thriller, the Navy Seals executed a daring raid deep into Pakistan to kill Osama bin Laden."
construe,make sense of; assign a meaning to,But nothing that was said Tuesday can be construed as good news.
ford,cross a river where it's shallow,"Sometimes they drive their teams through unsettled country, without roads, swimming and fording streams, clearing away obstructions, and camping where night overtakes them."
repast,the food served and eaten at one time,"Fragrant coffee, light rolls, fresh butter, ham and eggs, fried crocuses and soft crabs, formed the repast."
stint,an unbroken period of time during which you do something,"He found his unionized warehouse job after a stint working for his father, an accountant."
fresco,a mural done with watercolors on wet plaster,"The little church has an ancient fresco of St. Christopher, placed, as usual, opposite the entrance."
dutiful,willingly obedient out of a sense of respect,"Perhaps he thinks an engaged young lady should be demure and dutiful, having no eyes or ears for any one except her betrothed."
hew,make or shape as with an axe,"They bought a log chain, and lumber for a door; the window frames were hewed from logs."
parity,functional equality,"How many of the world’s problems would be solved, or at least greatly reduced, if women had true parity with men?"
affable,diffusing warmth and friendliness,"He was well liked and respected in these islands, for his affable manners had obtained for him much popularity."
interminable,tiresomely long; seemingly without end,"All was going well, but slowly, the time taken for the last few feet seeming to be interminable."
pillage,steal goods; take as spoils,"In addition great material losses were inflicted: seven hundred houses were destroyed, six hundred stores pillaged, and thousands of families utterly ruined."
foreboding,a feeling of evil to come,"Mr. Harding had strong forebodings that the trouble, so far from being ended, was only just beginning."
rend,tear or be torn violently,"In the distance heavy artillery was growling, and high explosive shells were bursting with a violence that seemed to rend the sky."
livelihood,the financial means whereby one lives,"With businesses shut, fields untended and fishing abandoned many have lost their livelihoods as well as their homes, our correspondent says."
deign,do something that one considers to be below one's dignity,To Mr. Gompers' courteous letter Czar Gary did not deign to reply.
capricious,determined by chance or impulse rather than by necessity,"Her admirers were capricious, returning to her at times, and then holding aloof again; and as for suitors, they entirely disappeared."
stupendous,so great in size or force or extent as to elicit awe,The fact was so stupendous that Terry felt almost frightened over the great good fortune.
chaff,material consisting of seed coverings and pieces of stem,"The wheat, being heavy, falls, while the chaff is blown away."
innate,not established by conditioning or learning,"In other words, one of our most essential abilities as humans--reading--is the product of a combination of innate and learned traits."
reverie,an abstracted state of absorption,"He stood still, seemingly lost in reverie, and quite oblivious to the group about him."
wrangle,"to quarrel noisily, angrily or disruptively","Here were many fierce and bitter wrangles over vexed questions, turbulent scenes, displays of sectional feelings."
crevice,a long narrow opening,"The disruptive power of tree roots, growing in the crevices of rocks, is well known."
ostensible,appearing as such but not necessarily so,"This already-exhaustive book is studded with diary entries, academic papers and other ostensible evidence that its fictitious stories of destruction are true."
craven,lacking even the rudiments of courage; abjectly fearful,Was it for them to follow the craven footsteps of a cowardly generation?
vestige,an indication that something has been present,"Now, there was no vestige of vegetation; no living thing."
plumb,examine thoroughly and in great depth,"Tellingly, Ms. Liao said she had great difficulty finding three actors willing to plumb their own personalities."
reticent,temperamentally disinclined to talk,"No questions were asked, and few indeed were the words spoken, his reticent manner preventing any undue familiarity."
propensity,an inclination to do something,"A longtime colleague, Gate Theatre director Michael Colgan, noted Kelly's old-school charms, punctuated by his propensity for bow ties and smart suits."
chide,censure severely or angrily,"He chided reporters as having “stalked” family members, demanding that his relatives be left alone."
espouse,choose and follow,He said Islam should not be equated with terrorism or the kind of violence espoused by Bin Laden.
raiment,especially fine or decorative clothing,"Clothed in fine raiment and faring sumptuously every day, he soon developed into a handsome lad."
intrepid,invulnerable to fear or intimidation,"There are some very courageous and intrepid reporters in Afghanistan, including some who work for American media outlets."
seemly,according with custom or propriety,"The Baron was less conscientious, for he ate more beefsteak than was seemly, and talked a great deal of stupid nonsense, as was his wont."
allay,lessen the intensity of or calm,Our boy was scared and confused; we tried to allay his fears.
fitful,occurring in spells and often abruptly,"She had lost her composure, her breath came in fitful, uneven gasps, and as she sat there she pressed one hand over her heart."
erode,become ground down or deteriorate,"Another report today showed home prices fell more than forecast in November, eroding the wealth of families as they seek to rebuild savings."
unaffected,free of artificiality; sincere and genuine,His conversation was unaffectedly simple and frank; his language natural; always abounding in curious anecdotes.
canto,a major division of a long poem,"Folengo’s next production was the Orlandino, an Italian poem of eight cantos, written in rhymed octaves."
docile,easily handled or managed,"Time and again humans have domesticated wild , producing tame individuals with softer appearances and more docile temperaments, such as dogs and guinea pigs."
patronize,treat condescendingly,Ms. Paul herself noted that “glib talk about appreciating dyslexia as a ‘gift’ is unhelpful at best and patronizing at worst.”
teem,be abuzz,"The coast, once teeming with traffic, is now lonely and deserted."
estrange,arouse hostility or indifference in,"An atmosphere of distrust, suspicion and fear can cause workers to feel estranged from one another, Dr. Wright has written."
spat,a quarrel about petty points,"Public spats are rare in the asset-management industry, where companies typically resolve disputes behind closed doors."
warble,sing or play with trills,"Meadow larks, as you have undoubtedly noticed, warble many different songs."
mien,"a person's appearance, manner, or demeanor","Nevertheless, before going to meet Samuel, she assumed a calm and dignified mien."
sate,fill to contentment,"His appetite was not sated by any means, but he knew the danger of overloading his stomach, so he stopped."
constituency,the body of voters who elect a representative for their area,"Each posited that the blue-collar Democratic constituency rooted in the New Deal had grown increasingly conservative, alienated from “big government.”"
patrician,characteristic of the nobility or aristocracy,"Respectable ladies, long resident, wearing black poke bonnets and camel's-hair shawls, lifted their patrician eyebrows with disapproval."
parry,"avoid or try to avoid fulfilling, answering, or performing","The boys asked a few guarded questions, but gained no information whatever, their questions being parried in every instance."
practitioner,someone who carries out a learned profession,"In particular, modern medical practitioners are coming around to the idea that certain illnesses cannot be reduced to one isolatable, treatable cause."
ravel,disentangle,"Overcasting is done by taking loose stitches over the raw edge of the cloth, to keep it from ravelling or fraying."
infest,occupy in large numbers or live on a host,"Many lived in dilapidated apartments with leaky pipes, broken windows, rooms full of mold, and walls infested with cockroaches and rats."
actuate,give an incentive for doing something,"He knew that men were actuated by other motives, good and bad, than self-interest."
surly,inclined to anger or bad feelings with overtones of menace,"But Blake, being surly and quarrelsome even when sober, gave the lapel a savage jerk, and reached out with his other hand."
convalesce,get over an illness or shock,Patients convalescing from pneumonia were evacuated to England or given Base Duty.
demoralize,lower someone's spirits; make downhearted,"The storm clobbered many communities still recovering from the flooding two months ago caused by Hurricane Irene, leaving weary homeowners exhausted and demoralized."
devolve,grow worse,"As the rhetoric heated up inside, the violence outside devolved into chaos."
alacrity,liveliness and eagerness,"Every one exerted himself not only without murmuring and discontent, but even with an alacrity which almost approached to cheerfulness."
waive,do without or cease to hold or adhere to,Low rates have also led retail brokerages to waive fees on money market funds to avoid negative returns for their clients.
unwonted,out of the ordinary,"He must rush off to see his people, who no doubt were quite confounded by his unwonted energy."
seethe,be in an agitated emotional state,"Outwardly quite calm and matter-of-fact, his mind was in a seething turmoil."
scrutinize,"to look at critically or searchingly, or in minute detail","Fans and commentators are scrutinizing every blemish: his turnovers, his weak left hand, his jump shot."
diffident,lacking self-confidence,"Shyly diffident in the presence of strangers, her head was lowered."
execrate,curse or declare to be evil or anathema,"When all Great Britain was execrating Napoleon, picturing him as a devil with horns and hoofs, Byron looked upon him as the world's hero."
implacable,incapable of being placated,This man was a savage in his implacable desire for revenge.
pique,a sudden outburst of anger,A talented youngster who smashes his guitar in a fit of pique finds it magically reassembled just in time for a crucial concert.
mite,a slight but appreciable amount,"I never saw anybody so pleased with monkeys as she is, and not one mite afraid."
encumber,hold back,Two others were making slower progress for the reason that each was encumbered by supporting a disabled man.
uncouth,lacking refinement or cultivation or taste,He had not stopped to consider her rough speech and uncouth manners.
petulant,easily irritated or annoyed,"The black eyes emitted an angry flash, the voice that answered was sharp and petulant."
expiate,make amends for,Wulphere was absolved on condition that he should expiate his crime by founding churches and monasteries all over his kingdom.
cavalier,given to haughty disregard of others,"Some would have given Nicklaus a cavalier response: polite nod while thinking, “Yeah, whatever.”"
banter,light teasing repartee,Our easy banter had suddenly been replaced by strained and awkward interaction.
bluster,"act in an arrogant, overly self-assured, or conceited manner","Slade, despite his swaggers and blustering, was at heart a coward."
debase,corrupt morally or by intemperance or sensuality,"Long oppression had not, on the whole, either blunted their intellects or debased their morals."
retainer,a person working in the service of another,This faithful and trusted retainer is greatly valued by his employers.
subjugate,make subservient; force to submit or subdue,The Confederacy was led by thoroughgoing racists who wanted to keep blacks subjugated for all time because of the color of their skin.
extol,"praise, glorify, or honor","How I praised the duck at that first dinner, and extolled Madame's skill in cookery!"
fraught,filled with or attended with,"But the ocean remains an unpredictable place, fraught with hazards."
august,profoundly honored,"At all times reserved in his manner and his bearing full of dignity, never before had she realized the majesty of General Washington’s august presence."
fissure,a long narrow depression in a surface,"The brown bark is not very rough, though its numerous fissures and cracks give it a rugged appearance."
knoll,a small natural hill,"Opened in 2008, the park serves as a true public space; elderly couples stroll around the artificial lake as toddlers roll down grassy knolls."
callous,emotionally hardened,"Outwardly merry and good-humoured, he was by nature coldly fierce, calculating, callous."
inculcate,teach and impress by frequent repetitions or admonitions,But instruction in history has been for a long time systematically used to inculcate certain political sentiments in the pupils.
nettle,"disturb, especially by minor irritations",Lincoln began these remarks by good-humored but nettling chaffing of his opponent.
blanch,"turn pale, as if in fear","He is silent, as if struck dumb, his face showing blanched and bloodless, while she utters a shriek, half terrified, half in frenzied anger."
inscrutable,of an obscure nature,"The fashion industry is notoriously opaque and often inscrutable for outsiders, even ones as well connected as him."
tenacious,stubbornly unyielding,"She was a tenacious woman, one who would even hold fast a thing which she no longer valued, simply because it belonged to her."
thrall,the state of being under the control of another person,"Then Kiss commenced in earnest, and quickly held his audience in thrall."
exigency,a pressing or urgent situation,The exigency of the situation roused Mr. Popkiss' sluggish faculties into prompt action.
disconsolate,sad beyond comforting; incapable of being consoled,Was there a bereaved mother or disconsolate sister weeping over their dead?
impetus,a force that moves something along,"Critics say it has known mixed success at best, although supporters hope the U.S. drawdown could provide just the impetus it needs to thrive."
imposition,an uncalled-for burden,"On that far-away day he had considered the little, lost girl a nuisance and an imposition."
auspices,kindly endorsement and guidance,"In March 2009, negotiations between Israel and Hamas were held in Cairo, under the auspices of the Egyptian intelligence agency."
sonorous,full and loud and deep,"His voice rang out firmly now, a deep and sonorous bass."
exploitation,an act that victimizes someone,"In a scathing report released last year, Amnesty International found there was widespread exploitation of migrants in Malaysia."
bane,something causing misery or death,"Knee pain is the bane of many runners, sometimes causing them to give up altogether."
dint,force or effort,If only certain puzzles could be solved by dint of sheer hard thinking!
ignominious,deserving or bringing disgrace or shame,The great Ottawa chief saw his partially accomplished scheme withering into ignominious failure.
amicable,characterized by friendship and good will,"After a short colloquy the two men evidently came to an amicable understanding, for they shook hands."
onset,the beginning or early stages,Thousands of families are living in makeshift camps as temperatures fall to freezing with the onset of winter.
conservatory,a schoolhouse with special facilities for fine arts,The young instrumental talent that is coming out of local music schools and conservatories is as amazingly good as you are going to find anywhere.
zenith,the point above the observer directly opposite the nadir,"In other words it never reaches the zenith, a point directly overhead."
voluble,marked by a ready flow of speech,I find him charming: shy – yet easy to talk to – voluble and funny once he gets going.
yeoman,a free man who cultivates his own land,On one extreme was the well-to-do yeoman farmer farming his own land.
levity,a manner lacking seriousness,"The same balance of seriousness and levity runs through her plays, which put an absurdist spin on everyday problems."
rapt,feeling great delight,"She was watching the development of the investigation with rapt, eager attention."
sultry,characterized by oppressive heat and humidity,New guidelines from the American Academy of Pediatrics arrive just as school sports ramp up in sultry August temperatures.
pinion,bind the arms of,"The prisoners having dismounted, were placed in a line on the ground facing the guillotine, their arms pinioned."
axiom,a proposition that is not susceptible of proof or disproof,"The fundamental axiom of scientific thought is that there is not, never has been, and never will be, any disorder in nature."
descry,catch sight of,"Looking off seaward, I could descry no sails."
retinue,the group following and attending to some important person,"Despite his retinue of security personnel, Atambaev had been poisoned during his short tenure as prime minister."
functionary,a worker who holds or is invested with an office,"He was the functionary of the assize court, impaneling its juries, bringing accused men before it, and carrying out its penalties."
imbibe,take in liquids,"""We're cornered at last,"" he said suddenly, as the old man set the bottle down after having imbibed the best half of its contents."
diversified,having variety of character or form or components,"Funds in both categories tend to be highly diversified, typically with 100 or more stocks across at least 10 industries."
maraud,raid and rove in search of booty,Its reporter says armed gangs and looters are marauding the streets.
grudging,petty or reluctant in giving or spending,"Expect delays, scattered outages and surly, grudging customer service in the interim."
partiality,a predisposition to like something,"She still showed a partiality for bright colors, by her gown of deep crimson."
philology,the humanistic study of language and literature,"I had determined to study philology, chiefly Greek and Latin, but the fare spread out by the professors was much too tempting."
wry,humorously sarcastic or mocking,She also has a very understated but very wry sense of humour; watch out for it.
caucus,meet to select a candidate or promote a policy,"Representative Ron Paul of Texas isn’t campaigning in Florida, instead focusing on Maine, which will caucus in late February."
permeate,spread or diffuse through,"Florida’s summertime heat permeates almost every scene, becoming something like a character."
propitious,presenting favorable circumstances,"With the Athens stock market down nearly 30 percent so far this year, it would not seem a propitious time for initial public offerings."
salient,having a quality that thrusts itself into attention,"Bullying has become an increasingly salient problem for school-age children, and in rare cases has ended tragically with victims committing suicide."
propitiate,make peace with,"King Edward, having subdued the Welsh, “endeavoured to propitiate his newly acquired subjects by becoming a resident in the conquered country."
excise,remove by cutting,"Wielding a razor, Jefferson excised all passages containing supernaturalistic elements from the gospels, extracting what he took to be Jesus's pure ethical teachings."
betoken,be a signal for or a symptom of,The haggard face and sombre eyes betokened considerable mental anguish.
palatable,acceptable to the taste or mind,"If nicely cooked in this way, cabbage is as palatable and as digestible as cauliflower."
upbraid,express criticism towards,"When Kahn warned of a serious economic ""depression"", he was upbraided by the White House for using such language."
renegade,someone who rebels and becomes an outlaw,If he went off to another people he lost all standing among the Sioux and was thereafter treated as an outlaw and a renegade.
hoary,ancient,"The device of the trapped young person saved by books is a hoary one, but Ms. Winterson makes it seem new, and sulfurous."
pedantic,marked by a narrow focus on or display of learning,"The reader is treated to pedantic little footnotes, and given a good deal of information which is either gratuitous or uninteresting."
coy,showing marked and often playful evasiveness or reluctance,"It was funny watching such a solid person, based in faith and education, grow a trifle coy about the year of his birth."
troth,a solemn pledge of fidelity,"She had pledged to him her troth, and she would not attempt to go back from her pledge at the first appearance of a difficulty."
encroachment,entry to another's property without right or permission,The move may mark yet another attempt by France to rein in what it sees as the encroachment of online services on the country's culture.
belie,be in contradiction with,"""It is a fine morning,"" he said, taken aback by my sudden movement, but affecting an indifference which the sparkle in his eye belied."
armada,a large fleet,An armada of three hundred ships manned by eighteen thousand marines assembled in the bay on their way to the conquest of Algiers.
succor,assistance in time of difficulty,"Given his health woes, succession worries and persistent isolation, Mr. Kim may simply be seeking succor from what may be his last friend on earth."
imperturbable,marked by extreme calm and composure,"Ordinarily imperturbable, even in the face of unexpected situations, he was now visibly agitated."
irresolute,uncertain how to act or proceed,"I stood for a moment before I entered on my arduous undertaking, irresolute and hesitating, swayed by two conflicting impulses."
knack,a special way of doing something,"He had a special knack of hunting out farm houses, engaging madame in conversation, and coming away with bread, eggs, or cheese in his knapsack."
unseemly,not in keeping with accepted standards of what is proper,The square mile's upbeat mood may strike some as unseemly at a time of national gloom.
accentuate,"to stress, single out as important","This sparkling marvel lies modestly nestled among the law courts, whose plainer modern buildings serve but to accentuate its wonderful beauty."
divulge,make known to the public information previously kept secret,She hectors her children not to divulge personal information like phone numbers online.
brawn,possessing muscular strength,He believes Hollywood has often have had an over-reliance on physical brawn as the deciding factor for portraying a strong man.
burnish,polish and make shiny,"Great cleanliness is enforced in all that belongs to a lighthouse, the reflectors and lenses being constantly burnished, polished, and cleansed."
palpitate,beat rapidly,"After supper my heart started racing, palpitating like a tick."
promiscuous,not selective of a single class or person,"A promiscuous assembly had gathered there—men of all creeds and opinions—and an ""open-air"" meeting was in progress."
dissemble,make believe with the intent to deceive,Pictures have always dissembled – there are millions of snaps of miserable families grinning bravely – but now they directly lie.
flotilla,a fleet of small craft,"She was guarded by a flotilla of boats equipped with satellites, Global Positioning System devices, advanced navigation systems and shark shields."
invective,abusive language used to express blame or censure,"There's much more name-calling, shouting and personal invective in American life than anywhere I've ever traveled outside the United States."
hermitage,the abode of a recluse,"All the rest of their time is passed in solitude in their hermitages, which are built quite separate from one another."
despoil,destroy and strip of its possession,"Wherever his lordship's army went, plantations were despoiled, and private houses plundered."
sully,"make dirty or spotty, as by exposure to air","Why sully the reputation of an otherwise fascinating online community with really deeply questionable, troubling content?"
malevolent,having or exerting a malignant influence,"So you don’t believe in evil, as an actual malevolent force?"
irksome,so lacking in interest as to cause mental weariness,"It was pretty irksome passing the time in his enforced prison, and finally Andy went to sleep."
prattle,speak about unimportant matters rapidly and incessantly,She prattled on about the gossip of the town until Penny and her father were thoroughly bored.
subaltern,inferior in rank or status,The careful commanding officer of a regiment discourages his young subalterns from taking leave to Hill Stations.
welt,a raised mark on the skin,"But red, itchy welts typically appear within 24 to 48 hours of being bitten."
wreak,cause to happen or to occur as a consequence,The burden of paying for college is wreaking havoc on the finances of an unexpected demographic: senior citizens.
tenable,based on sound reasoning or evidence,"First, it is no longer really tenable – and in fact a bit disrespectful – to call a country like China an emerging economy."
inimitable,matchless,"Leave aside Spain, where Barcelona breeds its own, inimitable style, and the answer might be that we are rushing toward uniformity."
depredation,a destructive action,"Wild elephants abound and commit many depredations, entering villages in large herds, and consuming everything suitable to their tastes."
amalgamate,to bring or combine together or with something else,"Where two weak tribes amalgamated into one, there it exceptionally happened that two closely related dialects were simultaneously spoken in the same tribe."
immutable,not subject or susceptible to change or variation,"We are mistaken to imagine a work of literature is or should be immutable, sculpted in marble and similarly impervious to change."
proxy,a person authorized to act for another,"Ideally, everybody over 18 should execute a living will and select a health care proxy — someone to represent you in medical matters."
dote,shower with love; show excessive affection for,"He doted on him, just dearly loved him, and thought he could do no wrong,” Kredell said."
reactionary,extremely conservative,"Old people are often accused of being too conservative, and even reactionary."
rationalism,the doctrine that reason is the basis for regulating conduct,Offering a religious rationale for policy goals threatens what for many has become the cherished principle of secular rationalism in public life.
endue,give qualities or abilities to,"To say the least of it, he was endued with sufficient intelligence to acquire an ordinary knowledge of such matters."
discriminating,showing or indicating careful judgment and discernment,"Jobs’ Apple specializes in delighting the most discriminating, hard-to-please customers."
brooch,a decorative pin worn by women,Upon her breast she wore a brooch of gold set with many precious stones.
pert,characterized by a lightly exuberant quality,"Her pert, lively manner said she hadn't taken any wooden nickels lately."
disembark,go ashore,The immigrants disembarked from their ships tired and underfed—generally in poor health.
aria,an elaborate song for solo voice,"Ms. Netrebko sang an elegantly sad aria with lustrous warmth, aching vulnerability and floating high notes."
trappings,ornaments; embellishments to or characteristic signs of,They were caparisoned in Indian fashion with gay colors and fancy trappings.
abet,"assist or encourage, usually in some wrongdoing","""Since YouTube, digital culture has aided and enhanced -- or maybe the better word is abetted -- the celebrity meltdown,"" said Wired magazine senior editor Nancy Miller."
clandestine,conducted with or marked by hidden aims or methods,"For Jordan, this is a clandestine relationship it would much prefer to have kept secret."
distend,swell from or as if from internal pressure,Some kids said LaNiyah's distended abdomen looked like she was carrying a baby.
glib,having only superficial plausibility,The other sort of engineer understands that glib comparisons between computers and humans don't do justice to the complexities of either.
pucker,to gather something into small wrinkles or folds,"Godmother,' she went on, puckering her forehead again in perplexity, 'it almost feels like feathers."
rejoinder,a quick reply to a question or remark,"""Not at all!"" was Aunt Susannah's brisk rejoinder."
spangle,adornment consisting of a small piece of shiny material,"Magdalen's garments are rich with spangles; her mantle is scarlet; she has flowers in her luxuriant tresses, and looks a vain creature."
blighted,affected by something that prevents growth or prosperity,"Hudec, whose career has been blighted by knee injuries and operations, won for the first time in more than four years."
nicety,conformity with some aesthetic standard of correctness,They accepted the invitation; but Mrs. Rowlandson did not appreciate the niceties of Indian etiquette.
aggrieve,infringe on the rights of,"Some fallout appears evident in donations from Wall Street executives, who feel particularly aggrieved by Mr. Obama’s criticisms and policies."
vestment,gown worn by the clergy,"And then a priest, arrayed in all his vestments, came in at the open door, and the prince and princess exchanged rings, and were married."
urbane,showing a high degree of refinement,"Polished, urbane and gentlemanly—his manners were calculated to refine all around him."
defray,bear the expenses of,The legislation also calls for $1.6 billion in spending cuts to help defray the disaster costs.
spectral,resembling or characteristic of a phantom,Hawthorne’s figures are somewhat spectral; they lack flesh and blood.
munificent,very generous,"They have shown themselves very loving and generous lately, in making a quite munificent provision for his traveling."
dictum,an authoritative declaration,"In other words, they seemed fully subscribed to Andy Warhol’s dictum that business art is the best art."
fad,an interest followed with exaggerated zeal,"According to Chinese media, the hottest new fad in China involves selling small live-animal key chains."
scabbard,a sheath for a sword or dagger or bayonet,"Drawing his own sabre from its scabbard, he pointed to a stain on it, saying, ""This is the blood of an Englishman."""
adulterate,make impure by adding a foreign or inferior substance,Shady dealers along the supply chain frequently adulterate olive oil with low-grade vegetable oils and add artificial coloring.
beleaguer,annoy persistently,"Rock concert ticket sales dropped sharply last year, sounding another sour note for the beleaguered music industry."
gripe,complain,"If America is going to gripe about the yuan’s rate, then China will complain about the dollar’s role."
remission,an abatement in intensity or degree,"After a few hours there is a remission of the pain, slight perspiration takes place, and the patient may fall asleep."
exorbitant,greatly exceeding bounds of reason or moderation,"Soon, stories began trickling across the Atlantic of crazed fans paying exorbitant sums to get into London gigs."
invocation,the act of appealing for help,"These dances are prayers or invocations for rain, the crowning blessing in this dry land."
cajole,"influence or urge by gentle urging, caressing, or flattering","Hamilton, however, was not to be cajoled into friendliness by superficial compliment."
